fecha,hora,temperatura
21/06/2019,11:11:52,36.75
21/06/2019,11:11:54,36.75
21/06/2019,11:11:56,36.75
21/06/2019,11:11:58,36.75
21/06/2019,11:12:00,36.75
21/06/2019,11:12:02,36.75
21/06/2019,11:12:04,36.75
21/06/2019,11:12:06,36.75
21/06/2019,11:12:08,36.75
21/06/2019,11:12:10,36.75
21/06/2019,11:12:12,36.75
21/06/2019,11:12:14,36.75
21/06/2019,11:12:16,36.75
21/06/2019,11:12:18,36.75
21/06/2019,11:12:20,36.75
21/06/2019,11:12:22,36.75
21/06/2019,11:12:24,36.75
21/06/2019,11:12:26,36.75
21/06/2019,11:12:28,36.75
21/06/2019,11:12:30,36.75
21/06/2019,11:12:32,36.75
21/06/2019,11:12:34,36.75
21/06/2019,11:12:36,36.75
21/06/2019,11:12:38,36.75
21/06/2019,11:12:40,36.75
21/06/2019,11:12:42,36.75
21/06/2019,11:12:44,36.75
21/06/2019,11:12:46,36.75
21/06/2019,11:12:48,36.75
21/06/2019,11:12:50,36.75
21/06/2019,11:12:52,36.75
21/06/2019,11:12:54,36.75
21/06/2019,11:12:56,36.75
21/06/2019,11:12:58,36.75
21/06/2019,11:13:00,36.75
21/06/2019,11:13:02,36.75
21/06/2019,11:13:04,36.75
21/06/2019,11:13:06,36.75
21/06/2019,11:13:08,36.75
21/06/2019,11:13:10,36.75
21/06/2019,11:13:12,36.81
21/06/2019,11:13:14,36.75
21/06/2019,11:13:16,36.75
21/06/2019,11:13:18,36.81
21/06/2019,11:13:20,36.75
21/06/2019,11:13:22,36.75
21/06/2019,11:13:24,36.75
21/06/2019,11:13:26,36.81
21/06/2019,11:13:28,36.81
21/06/2019,11:13:30,36.81
21/06/2019,11:13:32,36.81
21/06/2019,11:13:34,36.81
21/06/2019,11:13:36,36.81
21/06/2019,11:13:38,36.81
21/06/2019,11:13:40,36.81
21/06/2019,11:13:42,36.81
21/06/2019,11:13:44,36.81
21/06/2019,11:13:46,36.81
21/06/2019,11:13:48,36.81
21/06/2019,11:13:50,36.81
21/06/2019,11:13:52,36.81
21/06/2019,11:13:54,36.81
21/06/2019,11:13:56,36.81
21/06/2019,11:13:58,36.81
21/06/2019,11:14:00,36.88
21/06/2019,11:14:02,36.81
21/06/2019,11:14:04,36.81
21/06/2019,11:14:06,36.81
21/06/2019,11:14:08,36.88
21/06/2019,11:14:10,36.88
21/06/2019,11:14:12,36.88
21/06/2019,11:14:14,36.88
21/06/2019,11:14:16,36.88
21/06/2019,11:14:18,36.88
21/06/2019,11:14:20,36.88
21/06/2019,11:14:22,36.81
21/06/2019,11:14:24,36.88
21/06/2019,11:14:26,36.88
21/06/2019,11:14:28,36.81
21/06/2019,11:14:30,36.81
21/06/2019,11:14:32,36.81
21/06/2019,11:14:34,36.88
21/06/2019,11:14:36,36.88
21/06/2019,11:14:38,36.88
21/06/2019,11:14:40,36.88
21/06/2019,11:14:42,36.88
21/06/2019,11:14:44,36.88
21/06/2019,11:14:46,36.88
21/06/2019,11:14:48,36.88
21/06/2019,11:14:50,36.88
21/06/2019,11:14:52,36.88
21/06/2019,11:14:54,36.88
21/06/2019,11:14:56,36.88
21/06/2019,11:14:58,36.88
21/06/2019,11:15:00,36.88
21/06/2019,11:15:02,36.88
21/06/2019,11:15:04,36.88
21/06/2019,11:15:06,36.88
21/06/2019,11:15:08,36.88
21/06/2019,11:15:10,36.88
21/06/2019,11:15:12,36.88
21/06/2019,11:15:14,36.88
21/06/2019,11:15:16,36.88
21/06/2019,11:15:18,36.88
21/06/2019,11:15:20,36.88
21/06/2019,11:15:22,36.88
21/06/2019,11:15:24,36.88
21/06/2019,11:15:26,36.88
21/06/2019,11:15:28,36.94
21/06/2019,11:15:30,36.94
21/06/2019,11:15:32,36.94
21/06/2019,11:15:34,36.94
21/06/2019,11:15:36,36.94
21/06/2019,11:15:38,36.94
21/06/2019,11:15:40,36.94
21/06/2019,11:15:42,36.94
21/06/2019,11:15:44,36.94
21/06/2019,11:15:46,36.94
21/06/2019,11:15:48,36.94
21/06/2019,11:15:50,36.94
21/06/2019,11:15:52,36.94
21/06/2019,11:15:54,36.94
